feature_rank,gene_name_norm,gene_name,gene_id,train_prevalence,mean_log2_tpm_train,variance_log2_tpm_train
132,VSIG2,VSIG2,ENSG00000019102,0.9944444444444445,4.750913087260758,4.343708061703259
133,ORM1,ORM1,ENSG00000229314,0.9916666666666667,3.5762115548542432,4.305524159379201
134,MMP11,MMP11,ENSG00000099953,1.0,5.139924702608973,4.302935332766388
135,PI3,PI3,ENSG00000124102,0.9972222222222222,3.176501849996692,4.29148912751443
136,SMOC1,SMOC1,ENSG00000198732,0.9861111111111112,2.360394478476064,4.2892278689892
137,CD207,CD207,ENSG00000116031,0.975,3.041991827319908,4.289174207821543
138,CHGB,CHGB,ENSG00000089199,0.8555555555555555,1.7587365011854366,4.280486089977979
139,SLC22A31,SLC22A31,ENSG00000259803,0.9944444444444445,6.167569453985536,4.2775796055934086
140,IRX2,IRX2,ENSG00000170561,0.9888888888888889,3.966457108130197,4.273097180031429
141,PROM1,PROM1,ENSG00000007062,0.95,2.767143107675585,4.209206997956972
142,COMP,COMP,ENSG00000105664,1.0,4.439907260514773,4.205834453106945
143,CCL20,CCL20,ENSG00000115009,1.0,4.713587056519587,4.180316095570421
144,BHMT2,BHMT2,ENSG00000132840,0.9916666666666667,2.667182991441709,4.175631390502903
145,SOX2,SOX2,ENSG00000181449,0.9666666666666667,3.624665458403947,4.172388937542622
146,ITPKA,ITPKA,ENSG00000137825,0.9944444444444445,3.2519694199580944,4.167523128597126
147,ADGRF1,ADGRF1,ENSG00000153292,0.9638888888888889,3.33034604313475,4.158962248824069
148,CXCL13,CXCL13,ENSG00000156234,1.0,5.038377546209458,4.156808690154547
149,CDA,CDA,ENSG00000158825,1.0,4.591977536245087,4.154070779703667
150,CACNA2D2,CACNA2D2,ENSG00000007402,0.9972222222222222,3.701333872740576,4.129873957755243
151,KLK14,KLK14,ENSG00000129437,0.9138888888888889,1.6403335883198333,4.126991289860489
152,ALOX15B,ALOX15B,ENSG00000179593,1.0,5.16558786442187,4.1263354952080284
153,PCSK1,PCSK1,ENSG00000175426,0.8861111111111111,1.2877557544447182,4.090328045778328
