gene_name_norm,gdc_abs_log2_fc,gdc_neg_log10_p,gdc_neg_log10_fdr,sample_prevalence_score,expression_evidence_score,network_context_score,geo_component_score,de_priority_gate,degree_gene,weighted_degree_gene,pagerank,betweenness_centrality,pca_1,pca_2,cluster_id,target_score_raw,target_penalty_reason,target_penalty_factor,target_score,target_rank,evidence_level,gene_name,gene_id,count_tumor,count_normal,mean_raw_tumor,mean_raw_normal,mean_log_tumor,mean_log_normal,gdc_log2_fc,gdc_p_value,gdc_adj_p_value,gdc_expression_status,count_advanced,count_early,mean_advanced,mean_early,geo_stage_diff_advanced_vs_early,geo_p_value,geo_adj_p_value,protein_count,geo_direction_match,geo_validation_status,geo_validation_bonus,coefficient,model_importance,importance_type,model_importance_rank,encoded_by_gene,protein_target,protein_target_cluster,isolation_priority_score,gmm_rarity_score,cluster_priority_score,evidence_prior_score,protein_ml_priority_score,protein_ml_rank
TOP2A,3.6358702942616725,19.751409000558198,18.405339264448074,0.6666666666666666,0.6666666666666666,0.17016565772671768,1.0,1.0,3408.0,980.8780000000002,0.00019089636471941818,0.0008269828632089779,6.901444598064453,3.894627447840757,0,0.6074364446998778,none,1.0,0.6074364446998778,6,high,TOP2A,ENSG00000131747,492.0,24.0,67.20873414634146,4.486987500000001,5.499841268198703,2.2828632249079064,3.6358702942616725,1.7725194092347992e-20,3.932427599882625e-19,FDR Up-regulated,337.0,766.0,0.30839404840373297,0.006673150788871061,0.3017208976148619,7.244661525252294e-07,2.4808493710701912e-05,1.0,True,validated,1.0,0.007192398873401287,0.007192398873401287,absolute_coefficient,220.0,TOP2A,DNA topoisomerase II alpha,4,0.992289899768697,0.9950773975446296,0.75,0.4726832044738759,0.9376403233407168,11
RAD51,1.7018938555230614,16.44312506599019,15.320045458555231,0.6666666666666666,0.5389696835503565,0.21688599334511377,1.0,1.0,2818.0,910.3780000000002,0.0003474290674508247,0.004925761108583561,8.693636776651905,1.0997562820764277,0,0.5436506683284651,none,1.0,0.5436506683284651,185,exploratory,RAD51,ENSG00000051180,492.0,24.0,7.745595934959349,1.688241666666667,2.8120056813278898,1.3539706833715115,1.7018938555230614,3.6047482030628826e-17,4.785799956838052e-16,FDR Up-regulated,337.0,765.0,0.33401202121765927,0.008328032334186015,0.3256839888834733,1.5024767773491348e-07,7.3436034558099785e-06,1.0,True,validated,1.0,,,,,RAD51,RAD51 protein,3,0.9797165055453413,0.9701678429511892,0.9166666666666666,0.3020926780733107,0.9364697695599731,12
COL1A1,2.8734609417309707,9.089974900271402,8.48840402284216,0.6666666666666666,0.6666666666666666,0.15363112584196562,1.0,1.0,2560.0,742.3249999999997,0.00024200818607651717,0.0008175045495905369,5.644562584707227,2.267656915898065,0,0.6037988476852324,none,1.0,0.6037988476852324,8,high,COL1A1,ENSG00000108821,492.0,24.0,1182.8176863821132,160.54253333333332,9.397252360946196,6.733693937912616,2.8734609417309707,8.12877494460548e-10,3.2478501028671326e-09,FDR Up-regulated,337.0,766.0,0.4581476823918698,0.00596585953407544,0.4521818228577944,1.6128985485220065e-12,2.55644419940738e-09,1.0,True,validated,1.0,0.009569603637017228,0.009569603637017228,absolute_coefficient,86.0,COL1A1,Collagen alpha-1(I) chain,4,0.9940098452049108,0.9946622383014057,0.75,0.45248881473243907,0.9337977967541082,13
CSF3,4.357643025525719,4.387231823480852,4.066899014191385,0.5907859078590786,0.5907859078590786,0.12309649640738429,0.6,1.0,1705.0,573.6450000000002,0.00019509621034365622,0.0012163835810332624,3.9980755522185873,2.973801017783863,3,0.48927635116084395,none,1.0,0.48927635116084395,477,exploratory,CSF3,ENSG00000108342,436.0,24.0,4.487440366972478,111.499625,1.4936353909190663,4.2068713193474325,-4.357643025525719,4.0998519721881616e-05,8.572371540558605e-05,FDR Down-regulated,335.0,727.0,-0.03133258142077656,-0.002044216722654796,-0.029288364698121763,0.6539571653414661,0.7934104103221267,1.0,True,geo_weak_signal,0.5,-0.009323948372930171,0.009323948372930171,absolute_coefficient,99.0,CSF3,CSF3 protein,4,0.9954925567878536,0.9978648953205622,0.75,0.44184172985064796,0.9330125222369129,14
STX1A,2.5022817776478417,28.700820563538198,26.80231683858602,0.6666666666666666,0.6666666666666666,0.09805828885023637,1.0,1.0,1154.0,360.694,0.0002071002175998285,0.0007215366242038217,3.1838020454530715,4.16003637972716,3,0.5915728235470519,none,1.0,0.5915728235470519,26,high,STX1A,ENSG00000106089,492.0,24.0,14.463359959349596,1.7292416666666668,3.4772149217523975,1.4089242800266915,2.5022817776478417,1.9914959908909724e-29,1.5764607465921447e-27,FDR Up-regulated,337.0,765.0,0.3434160214127525,-0.008029117651003736,0.35144513906375624,1.8304116911860238e-07,8.553067839295712e-06,1.0,True,validated,1.0,0.008277144745198936,0.008277144745198936,absolute_coefficient,148.0,STX1A,STX1A protein,4,0.9916968151355199,0.9899768696993061,0.75,0.4591235722347055,0.9329235339238643,15
H2AC20,1.8662173296882645,11.20269722812595,10.460540704033695,0.6639566395663956,0.5629636286874524,0.16445225763092838,0.2,1.0,1849.0,687.0980000000005,0.00025474710998092096,0.00435686482661005,5.6666662747455625,0.2959775738603287,0,0.4258962332958464,none,1.0,0.4258962332958464,1123,background,H2AC20,ENSG00000184260,490.0,24.0,8.422573469387755,1.584533333333333,2.1639813355982427,1.3218908953570232,1.8662173296882645,6.270508658550977e-12,3.46305425783911e-11,FDR Up-regulated,,,,,,,,1.0,False,missing_geo,0.0,,,,,H2AC20,H2AC20 protein,3,0.9883755411897278,0.9845797995373939,0.9166666666666666,0.2500692789354713,0.9328572894811966,16
ADRB2,2.9987102741026037,21.516811027036038,20.045039965040193,0.6639566395663956,0.6639566395663956,0.09074068130517694,1.0,1.0,1443.0,428.022,0.00014530860312701673,0.0006516340612678193,3.056558201489051,3.9889757708926816,3,0.5882556328139682,none,1.0,0.5882556328139682,37,high,ADRB2,ENSG00000169252,490.0,24.0,9.062399795918367,79.42726666666668,2.879935156239975,6.209606314695431,-2.9987102741026037,3.042208482731469e-22,9.01488176227334e-21,FDR Down-regulated,320.0,708.0,-0.4201135135879667,-0.0006907169130304565,-0.41942279667493626,6.50232543410414e-09,7.361561295039331e-07,1.0,True,validated,1.0,-0.009154164462262212,0.009154164462262212,absolute_coefficient,106.0,ADRB2,ADRB2 protein,4,0.9851135757072534,0.9893244766028112,0.75,0.46922812258620666,0.9322207971931057,17
CD4,0.8370456403131626,19.38026991424953,18.054148331779327,0.6666666666666666,0.40059396911677264,0.3167114848850049,0.6,0.2,4120.0,1397.7379999999996,0.0005187273519678268,0.004455597260135477,12.226883990161221,-0.4350352103602003,4,0.36961314075600166,none,1.0,0.36961314075600166,2612,background,CD4,ENSG00000010610,492.0,24.0,83.2326867886179,149.47227916666665,6.073425165312766,7.200830242601696,-0.8370456403131626,4.166103794225832e-20,8.827783390321493e-19,Not significant,316.0,683.0,-0.006667255996829606,0.010206703738190812,-0.016873959735020417,0.8155317457974605,0.8969155045587217,1.0,True,geo_weak_signal,0.5,,,,,CD4,CD4 protein,3,0.998339363027104,0.9898582527726707,0.9166666666666666,0.2102544175644403,0.9297926989540669,18
ALB,6.817466670897006,10.933528704814105,10.206332459041592,0.44308943089430897,0.44308943089430897,0.36995931066889776,0.6,1.0,5499.0,1728.2820000000002,0.0004570279459091585,0.011364103098776668,16.910210482191022,3.424665569931357,4,0.45053738981057206,plasma_or_blood_marker,0.35,0.15768808643370022,12491,background,ALB,ENSG00000163631,327.0,16.0,145.5204611620795,0.29908124999999997,1.271865729129739,0.3591155934725393,6.817466670897006,1.1653900215152373e-11,6.218240871129246e-11,FDR Up-regulated,310.0,713.0,0.033700656180360146,-0.0010823201553885947,0.03478297633574874,0.7345933143547261,0.8479310052814905,1.0,True,geo_weak_signal,0.5,,,,,ALB,ALB protein,6,1.0,0.9998220746100469,0.8333333333333334,0.29861910324505353,0.9284039267850219,19
FAM183A,2.2869240443594165,3.9371356433232583,3.6431317727561408,0.6476964769647696,0.6145744259741358,0.06011535683134385,0.2,1.0,144.0,57.734000000000016,7.100960649809075e-05,0.008727157264179558,2.306611766383136,0.21221392949985604,3,0.4320633694161329,none,1.0,0.4320633694161329,1032,background,FAM183A,ENSG00000186973,478.0,24.0,12.895836820083687,66.8137,2.8082111183829914,4.850129435482581,-2.2869240443594165,0.0001155751209699111,0.00022744072300112875,FDR Down-regulated,,,,,,,,1.0,False,missing_geo,0.0,-0.004858601402027051,0.004858601402027051,absolute_coefficient,525.0,FAM183A,FAM183A protein,6,0.9965008006642548,0.9975683530039736,0.8333333333333334,0.30427481216073016,0.9275346277436074,20
