gene_name_norm,coefficient,model_importance,importance_type,gdc_abs_log2_fc,gdc_neg_log10_p,gdc_neg_log10_fdr,sample_prevalence_score,expression_evidence_score,network_context_score,geo_component_score,de_priority_gate,degree_gene,weighted_degree_gene,pagerank,betweenness_centrality,pca_1,pca_2,cluster_id,target_score_raw,target_penalty_reason,target_penalty_factor,target_score,target_rank,evidence_level,model_importance_rank
PLA2G4E,0.02322801408326293,0.02322801408326293,absolute_coefficient,0.10940161065222807,0.031107383892133054,0.025846913250005942,0.5880758807588076,0.017879881273840346,0.02503494519349586,0.2,0.2,406.0,125.67200000000001,3.9308022690104024e-05,0.0,-0.9465608319147175,-1.1864153623320701,2,0.0708756627652816,none,1.0,0.0708756627652816,16158,background,1
NCKAP5,-0.020096589234555262,0.020096589234555262,absolute_coefficient,3.0630473378551684,18.129627408050716,16.891510941462855,0.6436314363143631,0.6436314363143631,0.009970062857667533,0.2,1.0,287.0,59.89100000000001,1.0787304024016603e-05,0.0,-0.9259463435562143,3.421079813886164,3,0.43768121870673565,none,1.0,0.43768121870673565,961,background,2
GPM6A,-0.019926970379553027,0.019926970379553027,absolute_coefficient,3.3945565682881997,20.425041359475617,19.039517501539557,0.5501355013550135,0.5501355013550135,0.030325392274454105,1.0,1.0,957.0,215.88799999999992,1.613700808225322e-05,0.0,0.7278161353495134,4.684619435927582,3,0.5032569521540384,none,1.0,0.5032569521540384,394,exploratory,3
NTM,-0.017534277139213798,0.017534277139213798,absolute_coefficient,2.419169439426563,3.8639427424048796,3.5746274526143456,0.6666666666666666,0.6537337769749167,0.028224750257467464,0.2,1.0,851.0,182.86199999999997,2.3955080087702038e-05,0.0,-0.21938953540895736,1.319225923786461,3,0.4487083690354279,none,1.0,0.4487083690354279,829,background,4
PYCR1,0.017045108469168485,0.017045108469168485,absolute_coefficient,3.5993913689575323,25.632976014876935,23.90715194870377,0.6666666666666666,0.6666666666666666,0.04179502144075822,0.6,1.0,934.0,231.712,5.479111645859467e-05,0.0,0.9186830749950567,4.873023086184372,3,0.5191949047169667,none,1.0,0.5191949047169667,279,exploratory,5
GPA33,-0.016513876779054443,0.016513876779054443,absolute_coefficient,2.349875321171307,13.297060815795604,12.405835939693988,0.6287262872628726,0.6060733275957138,0.015677410956522628,0.2,1.0,469.0,96.69999999999997,1.571418437119258e-05,0.0,-0.7569611491513459,2.244593114457192,3,0.4164078747790926,none,1.0,0.4164078747790926,1304,background,6
PLA2G7,0.01609591748813989,0.01609591748813989,absolute_coefficient,0.4610096967709383,1.5136506989900143,1.3721794220112882,0.6666666666666666,0.2083082802824625,0.054473239617002414,0.6,0.2,745.0,215.371,0.00011107957060666631,0.0001919358507734304,0.581043018721687,-0.4889576381667686,1,0.24654895844030966,none,1.0,0.24654895844030966,9010,background,7
MME,-0.015109217747120016,0.015109217747120016,absolute_coefficient,2.294629973706939,20.022983722473718,18.6629782084203,0.6626016260162602,0.629942782810632,0.09808953828044392,0.2,1.0,1238.0,378.8030000000001,0.0001304130910565399,0.004832755156202608,3.524610817815442,1.873728424515099,3,0.4500765937526772,none,1.0,0.4500765937526772,813,background,8
RTKN2,-0.01491425735928888,0.01491425735928888,absolute_coefficient,3.9104810540251567,15.734835670693537,14.659934737760095,0.6666666666666666,0.6666666666666666,0.0068011582037055,0.2,1.0,176.0,37.29899999999999,9.117064070845642e-06,0.0,-1.0468097128456217,4.0203498047465285,3,0.45149625480481514,none,1.0,0.45149625480481514,790,background,9
ARHGAP40,0.014436902898539964,0.014436902898539964,absolute_coefficient,2.811889807076408,20.373729314130717,18.990701408362963,0.6382113821138211,0.6382113821138211,0.009490416267400647,0.2,1.0,284.0,59.338,9.117064070845642e-06,0.0,-0.9400970860631518,3.4005424703890483,3,0.4341610623105355,none,1.0,0.4341610623105355,1010,background,10
EMP2,-0.01435963007909711,0.01435963007909711,absolute_coefficient,2.71390175125791,24.24108674310518,22.592842624682334,0.6666666666666666,0.6666666666666666,0.01189776766593445,1.0,1.0,314.0,68.82800000000003,1.4179864213333202e-05,0.0,-0.3080715025347113,4.534381310199394,3,0.5726175088865055,none,1.0,0.5726175088865055,115,exploratory,11
SPOCK2,-0.013718525938953672,0.013718525938953672,absolute_coefficient,3.2390914978926157,21.570396886388327,20.094792661980755,0.6666666666666666,0.6666666666666666,0.0175180718168926,0.6,1.0,534.0,110.266,1.646508493265066e-05,0.0,-0.20152095739749146,4.2960113518208285,3,0.5138539757997163,none,1.0,0.5138539757997163,331,exploratory,12
