gene_name_norm,gene_name,gene_id,count_tumor,count_normal,mean_raw_tumor,mean_raw_normal,mean_log_tumor,mean_log_normal,gdc_log2_fc,gdc_abs_log2_fc,gdc_p_value,gdc_adj_p_value,gdc_neg_log10_fdr,gdc_expression_status,count_advanced,count_early,mean_advanced,mean_early,geo_stage_diff_advanced_vs_early,geo_p_value,geo_adj_p_value,degree_gene,weighted_degree_gene,protein_count,pagerank,betweenness_centrality,target_penalty_reason,target_penalty_factor,geo_direction_match,geo_validation_status,geo_validation_bonus,pca_1,pca_2,cluster_id,gdc_neg_log10_p,sample_prevalence_score,expression_evidence_score,network_context_score,geo_component_score,de_priority_gate,target_score_raw,target_score,target_rank,evidence_level
CDC45,CDC45,ENSG00000093009,492.0,24.0,12.571558536585362,1.34155,3.2857905082597565,1.122708048849204,2.53505065722604,2.53505065722604,1.5301223877825534e-19,2.9284215187743057e-18,17.533366410502325,FDR Up-regulated,318.0,699.0,0.36419835607609097,0.022678514020530793,0.3415198420555602,2.412957535605117e-06,6.577828957626235e-05,1563.0,503.2520000000001,1.0,0.00020925684147624044,0.00013862033666969974,none,1.0,True,validated,1.0,3.6428876223202216,3.2082653126592,0,18.815273830481193,0.6666666666666666,0.6666666666666666,0.11361146695049948,1.0,1.0,0.5949945227291098,0.5949945227291098,20,high
RRM2,RRM2,ENSG00000171848,492.0,24.0,20.91605243902439,2.23945,3.945367370094177,1.5355288822555657,2.7581671652312565,2.7581671652312565,9.53287952399828e-18,1.3795965817123143e-16,15.860247890374028,FDR Up-regulated,337.0,766.0,0.4087417657854649,0.009944612719186985,0.3987971530662779,4.866861078740068e-10,1.0587808562474716e-07,1682.0,516.147,1.0,0.0001869532939221954,0.0007630042462845011,none,1.0,True,validated,1.0,3.825282826988592,3.192115526850717,0,17.020775895532694,0.6666666666666666,0.6666666666666666,0.11222429571060377,1.0,1.0,0.5946893450563328,0.5946893450563328,21,high
FOXM1,FOXM1,ENSG00000111206,492.0,24.0,21.8765418699187,1.9563583333333332,3.896011768413906,1.4703913780350903,2.95197593283845,2.95197593283845,2.759981587030344e-22,8.23646894494135e-21,20.08425893471033,FDR Up-regulated,337.0,766.0,0.37162257406276095,0.012004654342065475,0.35961791972069546,1.5419296285089207e-08,1.3365397834614433e-06,2061.0,596.5729999999998,1.0,0.0001261564053866648,0.00013388117986047924,none,1.0,True,validated,1.0,3.7495620228429676,3.905585729289093,3,21.55909381528181,0.6666666666666666,0.6666666666666666,0.10447260256612143,1.0,1.0,0.5929839725645466,0.5929839725645466,22,high
NEK2,NEK2,ENSG00000117650,492.0,24.0,17.392954878048773,1.4067333333333332,3.68559128787356,1.1782998118149577,2.934005066435579,2.934005066435579,1.2330026090536604e-23,4.395276319503968e-22,21.357013816775975,FDR Up-regulated,337.0,766.0,0.2658882772889215,0.005690078126669645,0.26019819916225184,7.193837121904127e-05,0.0010027088299940487,1693.0,495.13899999999995,1.0,0.00013735232656954466,0.0023861654534425235,none,1.0,True,validated,1.0,4.045545117549488,3.813203363714642,3,22.90903600442908,0.6666666666666666,0.6666666666666666,0.10403216263397025,1.0,1.0,0.5928870757794734,0.5928870757794734,23,high
SLC2A1,SLC2A1,ENSG00000117394,492.0,24.0,94.0136463414634,9.306575,5.791766938014186,3.2320835713525136,3.204569748228578,3.204569748228578,9.367527657262211e-20,1.88254927090701e-18,17.725253648432435,FDR Up-regulated,296.0,693.0,0.42164361961211494,0.009467947894035707,0.41217567171807923,3.555009050400003e-09,5.056772488998465e-07,2569.0,678.3620000000001,1.0,8.091575754418172e-05,8.648961176827419e-05,none,1.0,True,validated,1.0,4.039012432915378,3.894242873006727,0,19.02837501599465,0.6666666666666666,0.6666666666666666,0.10309556767121131,1.0,1.0,0.5926810248876664,0.5926810248876664,24,high
EPAS1,EPAS1,ENSG00000116016,492.0,24.0,176.19935853658532,1230.0955958333332,7.193793451805037,10.025705504964137,-2.7964975064741213,2.7964975064741213,5.2157172165430165e-14,4.0433199075003124e-13,12.39326189592437,FDR Down-regulated,337.0,766.0,-0.2650436674954939,-0.008477395900413296,-0.2565662715950806,8.748877670067891e-05,0.0011638944574268975,2158.0,603.3629999999999,1.0,9.999266421721578e-05,8.648961176827419e-05,none,1.0,True,validated,1.0,3.4939337083835444,3.007153154434849,0,13.28268596302463,0.6666666666666666,0.6666666666666666,0.09865162966729224,1.0,1.0,0.5917033585268042,0.5917033585268042,25,high
STX1A,STX1A,ENSG00000106089,492.0,24.0,14.463359959349596,1.7292416666666668,3.4772149217523975,1.4089242800266915,2.5022817776478417,2.5022817776478417,1.9914959908909724e-29,1.5764607465921447e-27,26.80231683858602,FDR Up-regulated,337.0,765.0,0.3434160214127525,-0.008029117651003736,0.35144513906375624,1.8304116911860238e-07,8.553067839295712e-06,1154.0,360.694,1.0,0.0002071002175998285,0.0007215366242038217,none,1.0,True,validated,1.0,3.1838020454530715,4.16003637972716,3,28.700820563538198,0.6666666666666666,0.6666666666666666,0.09805828885023637,1.0,1.0,0.5915728235470519,0.5915728235470519,26,high
COL3A1,COL3A1,ENSG00000168542,492.0,24.0,1102.0906229674797,184.47872499999997,9.417923581077941,7.07532183559056,2.5722256987859913,2.5722256987859913,8.045707796719109e-10,3.216947573167676e-09,8.492556016769623,FDR Up-regulated,337.0,766.0,0.3702107227313435,0.0036312156610978723,0.3665795070702456,2.4947001444854738e-08,1.8967072507687966e-06,1790.0,494.71299999999997,1.0,0.00014436753888728368,0.00010544623900515621,none,1.0,True,validated,1.0,3.1415916339128582,2.4072861640507264,0,9.094435744145676,0.6666666666666666,0.6666666666666666,0.09642154392384568,1.0,1.0,0.591212739663246,0.591212739663246,27,high
PLEK2,PLEK2,ENSG00000100558,492.0,24.0,41.209446544715455,5.703516666666666,4.94024419024999,2.696563436388263,2.654575875148486,2.654575875148486,8.418607743730391e-29,6.14485476913585e-27,26.21148837700995,FDR Up-regulated,277.0,624.0,0.2078342370883081,0.001051070501349526,0.20678316658695856,0.0035837971139818484,0.0195969585902556,1654.0,486.7299999999999,1.0,0.0001367312903705177,9.715271458902033e-05,none,1.0,True,validated,1.0,3.1983200867346118,4.325473213673015,3,28.074759725508724,0.6666666666666666,0.6666666666666666,0.0935292452835742,1.0,1.0,0.5905764339623862,0.5905764339623862,28,high
MKI67,MKI67,ENSG00000148773,492.0,24.0,21.18504776422764,2.598429166666667,3.929894506209623,1.689507874652472,2.624148494279883,2.624148494279883,6.461692783672058e-17,8.191774588383051e-16,15.086622006608511,FDR Up-regulated,337.0,765.0,0.35671633966363836,0.00834831887748841,0.3483680207861499,1.289371849320782e-07,6.779896051286292e-06,1907.0,561.558,1.0,9.279227551485053e-05,5.923946011525629e-05,none,1.0,True,validated,1.0,3.1019440428659975,3.1774160161345733,3,16.18965369403234,0.6666666666666666,0.6666666666666666,0.09166262363224875,1.0,1.0,0.5901657771990947,0.5901657771990947,29,high
